datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-27 23:40:02	12819	97424	103205	30206	18939	3170	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-27 23:40:03	NULL	NULL	NULL	NULL	NULL	NULL	21515	NULL	3874	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 00:20:00	12817	97426	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 00:20:01	NULL	NULL	103195	30206	18939	3170	21514	1853	3874	3521	3170	222	1153	3170	322	696	277	20	100	2602
2019-04-28 01:20:00	NULL	97496	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 01:20:01	12815	NULL	103184	30210	18942	3170	21513	1853	3875	3521	3170	222	1153	3170	322	696	277	20	100	2602
2019-04-28 03:20:01	NULL	97522	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 03:20:03	12815	NULL	103186	30206	18942	3170	21509	NULL	3875	3521	3170	222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1853	NULL	NULL	NULL	NULL	1153	3170	322	696	277	20	100	2602
2019-04-28 04:20:01	NULL	97536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 04:20:02	12816	NULL	NULL	NULL	18942	3170	21509	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 04:20:03	NULL	NULL	103221	30207	NULL	NULL	NULL	1853	3875	3521	3170	222	1153	3170	322	696	277	20	100	2602
2019-04-28 05:20:01	12816	97544	NULL	30205	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 05:20:02	NULL	NULL	103243	NULL	18942	3170	21509	1853	3875	3521	3170	222	1153	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 05:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3170	322	696	277	20	100	NULL
2019-04-28 05:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2602
2019-04-28 06:20:00	NULL	97544	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:01	12816	NULL	103272	30209	18942	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:02	NULL	NULL	NULL	NULL	NULL	3170	21509	1853	3875	3521	3170	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	222	1153	3170	322	696	277	20	100	2602
2019-04-28 07:20:01	12816	97536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 07:20:02	NULL	NULL	103276	30208	18942	3170	21509	1848	3871	3521	3170	222	1153	3170	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	322	696	277	20	100	2602
2019-04-28 08:20:02	12816	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 08:20:04	NULL	97462	103274	30203	18942	3170	21509	1848	3868	3513	3158	222	1153	3170	322	696	277	20	100	2602
2019-04-28 09:20:01	12814	97313	103204	30184	NULL	NULL	21509	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 09:20:02	NULL	NULL	NULL	NULL	18918	3155	NULL	1843	3866	3512	3155	222	1153	3155	322	696	277	20	100	2602
2019-04-28 10:20:01	NULL	97209	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 10:20:02	12788	NULL	103135	30125	18874	3154	21509	1836	3851	3507	3154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:01	12778	97070	103041	30111	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:02	NULL	NULL	NULL	NULL	18840	NULL	21509	1834	3846	3494	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:03	NULL	NULL	NULL	NULL	NULL	3138	NULL	NULL	NULL	NULL	NULL	222	1153	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3138	NULL	NULL	3138	321	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	696	277	20	100	2602
2019-04-28 12:20:00	NULL	96995	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:01	12758	NULL	NULL	30091	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:02	NULL	NULL	102913	NULL	18807	3130	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:03	NULL	NULL	NULL	NULL	NULL	NULL	21509	1833	3837	3494	3130	222	1153	3133	321	689	277	20	100	2602
2019-04-28 13:20:01	12748	96916	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 13:20:03	NULL	NULL	102788	30075	18790	3129	21508	1833	3834	3494	3129	222	1153	3129	321	689	277	20	100	2602
2019-04-28 14:20:00	12708	96877	102705	30049	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:01	NULL	NULL	NULL	NULL	18769	3128	21505	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1831	3828	3483	3128	222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
