datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
4/27/19 23:40	0.186296462	0.280323203	0.437350945	0.908256881	0.778703153	0.460106383	NULL	NULL	NULL	NULL	NULL
4/27/19 23:40	NULL	NULL	NULL	NULL	NULL	NULL	0.981156317	0.297836938	NULL	NULL	NULL
4/28/19 0:20	0.185400806	0.280506841	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 0:20	NULL	NULL	0.435516419	0.908256881	0.778703153	0.460106383	0.980728051	0.297836938	0.577981651	0.445355191	0.455764075
4/28/19 1:20	NULL	0.286934166	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 1:20	0.18450515	NULL	0.433498441	0.911314985	0.780487805	0.460106383	0.980299786	0.299500832	0.577981651	0.445355191	0.455764075
4/28/19 3:20	NULL	0.289321458	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 3:20	0.18450515	NULL	0.433865346	0.908256881	0.780487805	0.460106383	0.978586724	0.299500832	0.577981651	0.445355191	NULL
4/28/19 3:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.455764075
4/28/19 4:20	NULL	0.290606923	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 4:20	0.184952978	NULL	NULL	NULL	0.780487805	0.460106383	0.978586724	NULL	NULL	NULL	NULL
4/28/19 4:20	NULL	NULL	0.440286186	0.909021407	NULL	NULL	NULL	0.299500832	0.577981651	0.445355191	0.455764075
4/28/19 5:20	0.184952978	0.291341475	NULL	0.907492355	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 5:20	NULL	NULL	0.444322143	NULL	0.780487805	0.460106383	0.978586724	0.299500832	0.577981651	0.445355191	NULL
4/28/19 5:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.455764075
4/28/19 5:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 6:20	NULL	0.291341475	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 6:20	0.184952978	NULL	0.449642267	0.910550459	0.780487805	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 6:20	NULL	NULL	NULL	NULL	NULL	0.460106383	0.978586724	0.299500832	0.577981651	0.445355191	NULL
4/28/19 6:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.455764075
4/28/19 7:20	0.184952978	0.290606923	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 7:20	NULL	NULL	0.450376078	0.909785933	0.780487805	0.460106383	0.978586724	0.292845258	0.577981651	0.445355191	0.455764075
4/28/19 7:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 8:20	0.184952978	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 8:20	NULL	0.283812322	0.450009173	0.905963303	0.780487805	0.460106383	0.978586724	0.287853577	0.55351682	0.412568306	0.455764075
4/28/19 9:20	0.184057322	0.270131301	0.437167492	0.891437309	NULL	NULL	0.978586724	NULL	NULL	NULL	NULL
4/28/19 9:20	NULL	NULL	NULL	NULL	0.766210589	0.420212766	NULL	0.28452579	0.550458716	0.404371585	0.415549598
4/28/19 10:20	NULL	0.260582132	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 10:20	0.172413793	NULL	0.424509264	0.846330275	0.740035693	0.417553191	0.978586724	0.259567388	0.535168196	0.401639344	NULL
4/28/19 11:20	0.167935513	0.2478193	0.407264722	0.835626911	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 11:20	NULL	NULL	NULL	NULL	0.719809637	NULL	0.978586724	0.25124792	0.495412844	NULL	NULL
4/28/19 11:20	NULL	NULL	NULL	NULL	NULL	0.375	NULL	NULL	NULL	NULL	NULL
4/28/19 11:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.357923497	0.36997319
