datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
2019-04-27 23:40:02	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL
2019-04-27 23:40:03	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL
2019-04-28 00:20:00	-2	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 00:20:01	NULL	NULL	-10	0	0	0	-1	0	0	0	0
2019-04-28 01:20:00	NULL	72	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 01:20:01	-4	NULL	-21	4	3	0	-2	1	0	0	0
2019-04-28 03:20:01	NULL	98	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 03:20:03	-4	NULL	-19	0	3	0	-6	1	0	0	NULL
2019-04-28 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0
2019-04-28 04:20:01	NULL	112	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 04:20:02	-3	NULL	NULL	NULL	3	0	-6	NULL	NULL	NULL	NULL
2019-04-28 04:20:03	NULL	NULL	16	1	NULL	NULL	NULL	1	0	0	0
2019-04-28 05:20:01	-3	120	NULL	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 05:20:02	NULL	NULL	38	NULL	3	0	-6	1	0	0	NULL
2019-04-28 05:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0
2019-04-28 05:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:00	NULL	120	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:01	-3	NULL	67	3	3	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:02	NULL	NULL	NULL	NULL	NULL	0	-6	1	0	0	NULL
2019-04-28 06:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0
2019-04-28 07:20:01	-3	112	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 07:20:02	NULL	NULL	71	2	3	0	-6	-3	0	0	0
2019-04-28 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 08:20:02	-3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 08:20:04	NULL	38	69	-3	3	0	-6	-6	-8	-12	0
2019-04-28 09:20:01	-5	-111	-1	-22	NULL	NULL	-6	NULL	NULL	NULL	NULL
2019-04-28 09:20:02	NULL	NULL	NULL	NULL	-21	-15	NULL	-8	-9	-15	-15
2019-04-28 10:20:01	NULL	-215	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 10:20:02	-31	NULL	-70	-81	-65	-16	-6	-23	-14	-16	NULL
2019-04-28 11:20:01	-41	-354	-164	-95	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:02	NULL	NULL	NULL	NULL	-99	NULL	-6	-28	-27	NULL	NULL
2019-04-28 11:20:03	NULL	NULL	NULL	NULL	NULL	-32	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-32	-32
2019-04-28 11:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:00	NULL	-429	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:01	-61	NULL	NULL	-115	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:02	NULL	NULL	-292	NULL	-132	-40	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:03	NULL	NULL	NULL	NULL	NULL	NULL	-6	-37	-27	-40	-37
2019-04-28 13:20:01	-71	-508	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 13:20:03	NULL	NULL	-417	-131	-149	-41	-7	-40	-27	-41	-41
2019-04-28 14:20:00	-111	-547	-500	-157	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:01	NULL	NULL	NULL	NULL	-170	-42	-10	NULL	NULL	NULL	NULL
2019-04-28 14:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-46	-38	-42	NULL
2019-04-28 14:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-42
2019-04-28 14:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 15:20:00	-130	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 15:20:02	NULL	-635	-571	-169	-220	-45	-12	-55	-44	NULL	NULL
2019-04-28 15:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-45	-45
2019-04-28 16:20:02	-272	-801	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 16:20:03	NULL	NULL	NULL	-172	-236	-51	NULL	NULL	NULL	NULL	NULL
2019-04-28 16:20:04	NULL	NULL	-644	NULL	NULL	NULL	-14	-63	-47	-51	-51
2019-04-28 17:20:00	-303	-967	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 17:20:01	NULL	NULL	-738	-186	-268	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 17:20:02	NULL	NULL	NULL	NULL	NULL	NULL	-17	NULL	NULL	NULL	NULL
2019-04-28 17:20:03	NULL	NULL	NULL	NULL	NULL	-55	NULL	-71	-52	-55	-55
2019-04-28 17:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 18:20:01	NULL	-1057	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 18:20:02	-313	NULL	-876	-172	-301	-57	-17	NULL	NULL	NULL	NULL
2019-04-28 19:20:01	-332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 19:20:02	NULL	-1081	-983	-212	-345	-57	-17	-82	-57	-57	NULL
2019-04-28 19:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57
2019-04-28 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:01	-338	-1138	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:02	NULL	NULL	-1028	-219	-355	-57	-19	-82	NULL	NULL	NULL
2019-04-28 20:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57	NULL
2019-04-28 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57	NULL	-57
2019-04-28 21:22:13	NULL	NULL	NULL	-215	NULL	-59	-20	-85	-57	-59	NULL
2019-04-28 21:22:14	NULL	NULL	-1097	NULL	-361	NULL	NULL	NULL	NULL	NULL	-59
2019-04-28 22:20:01	-340	-1104	-1094	-230	-362	-59	NULL	NULL	NULL	NULL	NULL
2019-04-28 22:20:02	NULL	NULL	NULL	NULL	NULL	NULL	-21	-87	-59	-59	-59
2019-04-28 22:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:01	-339	-1124	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:03	NULL	NULL	-1098	-231	-366	-60	-23	-89	-61	-60	NULL
2019-04-28 23:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-60
2019-04-29 00:20:00	-336	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:01	NULL	-1112	-1108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:02	NULL	NULL	NULL	-245	-370	-61	-24	-92	-61	-61	NULL
2019-04-29 00:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-61
2019-04-29 01:20:01	-335	-1102	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:02	NULL	NULL	-1111	-239	-373	-61	-24	NULL	NULL	NULL	NULL
2019-04-29 01:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-92	-60	-61	-61
2019-04-29 01:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:00	NULL	-1114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:01	-332	NULL	-1093	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:02	NULL	NULL	NULL	-234	-374	-61	-24	NULL	-59	NULL	NULL
2019-04-29 03:20:03	-331	-1095	-1065	-234	-368	-61	-25	-94	-59	NULL	NULL
2019-04-29 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-61	-61
2019-04-29 03:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:01	-331	-1088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:02	NULL	NULL	-1016	-234	-367	-61	-25	NULL	NULL	NULL	NULL
2019-04-29 04:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-94	-59	-61	-61
2019-04-29 05:20:01	-331	-1089	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:02	NULL	NULL	-990	-233	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:04	NULL	NULL	NULL	NULL	-367	-61	-25	-94	-62	-61	-61
2019-04-29 05:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:00	NULL	-1085	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:02	-331	NULL	-986	-228	-367	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:03	NULL	NULL	NULL	NULL	NULL	-61	-25	-94	-62	-61	-61
2019-04-29 07:20:01	-333	-1085	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 07:20:02	NULL	NULL	-981	-230	-367	-61	-25	-94	-62	-61	-61
2019-04-29 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 08:20:01	-334	-1193	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
